season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
5,21,White Whale,13 May 2018,8.0,1936,Rosa and Amy track down a killer who's managed to elude them for seven years; Terry helps Jake with his wedding chores; Holt and his rival try to convince each other to resign from the campaign for Commissioner.
5,22,Jake & Amy,20 May 2018,9.2,3201,The squad rushes to save Jake and Amy's wedding day from a major threat.
6,1,Honeymoon,10 Jan. 2019,8.4,2813,Jake and Amy go on their honeymoon; Gina and Charles get into a family squabble; Terry tries to live up to his new nickname.
6,2,Hitchcock & Scully,17 Jan. 2019,8.8,2985,"Jake and Charles investigate a case of Hitchcock and Scully's from the 1980s; meanwhile, Amy's uniformed officers and Terry's detectives fight over limited resources."
6,3,The Tattler,24 Jan. 2019,7.6,2239,"Jake and Gina attend their 20th high school reunion. Back at the Nine-Nine, Charles helps Rosa with her love life."
6,4,Four Movements,31 Jan. 2019,7.3,2418,Gina plays a high-stakes game of chess with Capt. Holt; Rosa and Amy take Gina out for a fancy brunch; Jake and Gina must use their wits to infiltrate a posh club.
6,5,A Tale of Two Bandits,7 Feb. 2019,8.2,2299,"Terry believes the Pontiac Bandit has gone back to stealing cars, but Jake tries to prove him wrong; the rest of the squad fight to keep Shaw's a police bar when some firemen stake a claim to it."
6,6,The Crime Scene,14 Feb. 2019,8.5,2437,Jake and Rosa must deal with a mother in mourning when they work on a difficult murder case with confusing evidence.
6,7,The Honeypot,21 Feb. 2019,8.5,2326,"Jake and Holt clash over the merits of a new hire in the 99th precinct. Terry, Amy, Rosa and Charles try to do something about the cluttered bullpen."
6,8,"He Said, She Said",28 Feb. 2019,7.0,3831,"Jake and Amy investigate a difficult ""he said, she said"" case of sexual assault. Holt becomes suspicious after learning his lifelong arch nemesis died in a prison transport accident."
6,9,The Golden Child,7 Mar. 2019,8.1,2187,"Jake helps Amy navigate the complicated relationship she has with her brother, David. Charles introduces some drama into an undercover mission involving Terry and Holt."
6,10,Gintars,14 Mar. 2019,7.4,2007,A visitor from Latvia causes Charles and Jake to investigate Nikolaj's family. Holt and Amy bring in famed forensic scientist Dr. Yee to help close a case for Rosa.
6,11,The Therapist,21 Mar. 2019,8.1,2076,Charles gets Jake involved in a case where a therapist reports one of his patients missing; Holt learns that Rosa has a new girlfriend whom everyone else has met; Amy thinks she mistakenly received a package for Terry.
6,12,Casecation,11 Apr. 2019,7.6,2243,Work is so busy for Jake and Amy that they end up celebrating their anniversary while standing guard over a comatose patient in the hospital.
6,13,The Bimbo,18 Apr. 2019,7.9,1958,"Holt and Jake investigate a case at Kevin's university. Back at the precinct, Terry and Amy take the squad out for lunch."
6,14,Ticking Clocks,25 Apr. 2019,8.4,2171,Jake and the squad must track down a hacker who has infiltrated the Nine-Nine's servers; Rosa deals with relationship issues; Hitchcock and Scully attempt to cook the perfect lasagna.
6,15,Return of the King,2 May 2019,6.4,2443,"When Gina returns to the Nine-Nine, Jake and Terry get drawn into her life. Holt learns that Charles' son, Nikolaj, may be a genius; Rosa copes with an injury."
6,16,Cinco de Mayo,9 May 2019,9.1,2904,"In order to distract Terry from the stress of his upcoming lieutenant's exam, Jake, Holt and the squad decide to hold the annual Halloween Heist on a new date, Cinco de Mayo."
6,17,Sicko,16 May 2019,8.5,1964,"Jake and Charles investigate a dangerous serial killer. Holt continues to spar with his rival, Commissioner Kelly. Terry tries to find a way to stay at the Nine-Nine."
